itot;pridtot;lon;lat;xtot;ytot;ztot;ttot;laftot;
 185;9;7.8098;62.9722;-362561;17200;115;-0.6;1;
 225;9;8.906494;61.248581;-325578;-179341;895;-6.1;1;
 308;9;14.02216;57.939387;-57928;-562978;228;1.4;1;
 242;9;5.35658;60.377647;-528571;-251984;23;1.3;1;
 266;9;10.227131;59.707053;-267887;-356409;167;-1.1;1;
 272;9;18.2644;59.305294;185582;-406398;40;2.2;1;
 218;9;27.525027;61.72811;655666;-77382;100;-3.6;1;
 186;9;10.331104;63.293767;-233116;41132;187;-6.5;1;
 291;9;17.326763;59.145157;132950;-426547;49;-1.8;1;
 266;9;10.650453;59.964979;-242224;-329438;256;4.3;1;
 109;9;15.485893;67.161899;21028;463285;6;-11.4;1;
 205;9;8.258404;61.885937;-352667;-105382;408;-0.3;1;
 282;9;5.732533;58.870636;-532218;-421132;17;5;1;
 227;9;11.359162;61.13376;-195442;-202018;264;18;1;
 266;9;10.819207;59.757877;-234338;-353075;103;-1.1;1;
 266;9;10.795169;59.894936;-234686;-337757;182;-2.7;1;
 271;9;18.078034;59.309929;174970;-406404;37;-0.7;1;
 271;9;17.325805;59.514179;131409;-385462;19;-2.2;1;
 186;9;10.757326;63.427793;-210885;54528;157;-3;1;
 245;9;9.188012;60.386497;-319237;-276270;938;-5.2;1;
 170;9;15.899148;64.195554;43530;133254;256;-12.7;1;
 347;9;12.340546;55.651144;-168088;-815805;13;3.3;1;
 247;9;11.633452;60.456637;-184675;-278065;0;8.3;1;
 345;9;10.304311;56.263675;-291603;-740037;49;3.9;1;
 309;9;14.235301;57.784706;-45507;-580414;114;5.2;1;
 290;9;16.206322;59.087841;69060;-434692;69;-2.8;1;
 128;9;13.101791;66.488393;-84355;389384;2;-3.9;1;
 245;9;9.486959;60.088782;-305696;-310737;131;0.5;1;
 271;9;17.718852;59.62194;153097;-372598;27;2.7;1;
 245;9;8.52085;60.708667;-352158;-237095;947;-5.7;1;
 345;9;9.461305;56.144506;-344982;-749161;97;3.1;1;
 345;9;9.615961;55.732653;-339229;-795939;70;3.2;1;
 242;9;5.344306;60.462264;-527830;-242571;127;1.3;1;
 262;9;5.58782;59.014515;-538130;-404059;6;4.3;1;
 243;9;5.669024;60.274683;-513225;-265852;62;0.7;1;
 255;9;23.080473;60.008566;448548;-304561;16;-2.8;1;
 266;9;11.060038;59.727776;-221062;-357273;155;-2.9;1;
 266;9;10.45329;59.422253;-257456;-388973;50;-0.4;1;
 347;9;12.544117;55.735387;-154868;-806885;32;3.1;1;
 345;9;10.201657;56.147222;-298938;-752564;22;4.2;1;
 203;9;6.228724;62.465196;-449501;-28764;31;3.2;1;
 282;9;5.875358;58.768794;-525677;-433544;172;2.7;1;
 243;9;5.990651;60.372567;-494131;-257586;369;-0.9;1;
 224;9;7.792579;61.311322;-384085;-166252;42;3.8;1;
 345;9;9.540095;56.188288;-339670;-744697;44;4.8;1;
 109;9;14.623214;67.237139;-16257;471643;34;-0.6;1;
 133;9;20.972488;66.076079;269328;354730;57;-8.2;1;
 327;9;12.723946;56.685763;-139768;-700994;31;1.3;1;
 347;9;12.46405;55.74318;-159880;-805817;35;6.4;1;
 242;9;5.269723;60.282632;-534890;-261722;63;2.6;1;
 108;9;13.468774;66.716881;-67443;414402;36;-2.4;1;
 266;9;10.799149;59.918791;-234291;-335120;88;-0.6;1;
 272;9;18.840274;59.503822;216964;-382511;14;-1.9;1;
 266;9;10.765074;59.729614;-237575;-356017;118;-0.6;1;
 286;9;10.248798;59.114583;-271546;-422324;30;-0.6;1;
 272;9;18.437735;59.394761;194894;-395931;23;-1.5;1;
 186;9;10.336134;63.384048;-232138;51126;135;1.4;1;
 290;9;15.783483;58.425134;45755;-508945;61;-1.9;1;
 215;9;23.782677;62.355913;451737;-40724;95;-11.6;1;
 206;9;9.48015;62.624242;-281890;-29677;623;-8;1;
 266;9;10.678911;59.944124;-240798;-331862;121;-5.9;1;
 347;9;12.117733;55.648188;-182177;-815529;44;3.6;1;
 266;9;10.147523;59.747827;-272005;-351547;8;0.1;1;
 185;9;8.771703;63.426685;-309334;62438;2;2.7;1;
 213;9;21.198904;62.517327;317611;-38351;10;-3.3;1;
 90;9;16.152585;68.48152;47239;610922;25;-3.9;1;
 265;9;9.646441;59.679783;-300661;-356870;176;-0.3;1;
 308;9;12.773589;58.160708;-131018;-536453;89;1.7;1;
 262;9;5.677113;58.947169;-534146;-412230;49;4.9;1;
 347;9;12.781658;56.139756;-138333;-762172;10;2.3;1;
 255;9;23.08456;60.292913;444804;-273126;49;-2.7;1;
 266;9;10.379049;59.662924;-259728;-361934;10;0.1;1;
 282;9;5.772754;58.879098;-529789;-420530;15;5.5;1;
 186;9;10.508722;63.435393;-223163;56210;7;3.8;1;
 265;9;9.32125;59.392902;-321696;-387135;183;0.5;1;
 284;9;7.958248;58.142278;-413868;-518094;81;5.6;1;
 246;9;10.663466;60.823646;-235060;-234128;226;-2.5;1;
 347;9;12.53517;55.888923;-154773;-789678;11;2.9;1;
 268;9;13.110404;59.546367;-106665;-382685;101;-3;1;
 347;9;12.460816;55.79415;-159858;-800103;35;3.5;1;
 262;9;5.713895;58.917953;-532522;-415758;15;5.2;1;
 348;9;12.92138;55.569321;-131688;-826322;3;1.6;1;
 365;9;10.49729;55.063095;-289051;-875088;24;2.3;1;
 266;9;10.282208;59.52515;-266287;-376844;2;0.4;1;
 266;9;10.962251;59.920262;-225196;-335540;200;-1.7;1;
 186;9;10.333643;63.397444;-232154;52621;195;-1.1;1;
 345;9;9.464703;56.208776;-344152;-742012;80;16.4;1;
 242;9;5.522508;60.046571;-524955;-289793;14;3.1;1;
 347;9;12.256586;55.681249;-173248;-812212;23;3.9;1;
 266;9;11.049849;59.960496;-220042;-331372;108;-0.9;1;
 286;9;10.2133;59.14775;-273296;-418487;67;0.3;1;
 235;9;22.924781;61.338431;421757;-158762;64;-6.6;1;
 328;9;13.083352;56.799177;-117327;-689037;174;1.4;1;
 347;9;12.647648;55.63338;-148760;-818550;3;2.9;1;
 194;9;22.768886;62.778384;394201;-801;65;-7.2;1;
 366;9;11.34429;55.396985;-232616;-841153;38;3.6;1;
 266;9;10.457524;59.86056;-253771;-340293;88;-0.6;1;
 256;9;25.035904;60.246401;552183;-263125;27;4.9;1;
 282;9;5.743719;58.845247;-531986;-424025;78;4;1;
 256;9;24.956148;60.174835;549058;-271679;18;-3.1;1;
 309;9;14.1374;57.80556;-51302;-578012;169;0.5;1;
 347;9;12.459346;55.728591;-160241;-807438;22;3.1;1;
 236;9;25.102723;60.765543;546789;-205481;90;-6.1;1;
 282;9;5.7183;58.831289;-533660;-425354;23;4;1;
 347;9;12.540914;55.746991;-155020;-805578;26;3.3;1;
 347;9;12.416957;55.743032;-162848;-805715;35;3.3;1;
 345;9;10.125177;56.176723;-303443;-748913;59;3.3;1;
 266;9;11.054436;59.961525;-219780;-331273;110;-1.6;1;
 266;9;10.806291;59.717683;-235353;-357494;160;-1.1;1;
 256;9;25.042534;60.216442;553063;-266362;21;-3;1;
 204;9;6.584506;62.37518;-432681;-41125;70;-0.9;1;
 282;9;6.01417;58.460065;-522527;-468760;21;1.9;1;
 266;9;10.401085;59.263264;-261673;-406431;12;0.1;1;
 327;9;12.553344;56.865285;-149476;-680551;13;1.5;1;
 366;9;11.207488;54.900515;-244593;-896240;12;1.8;1;
 246;9;10.760618;60.746678;-230366;-243025;203;-1.5;1;
 204;9;6.688399;62.694099;-422799;-6653;29;-1.1;1;
 308;9;13.986864;58.18357;-59590;-535701;147;0.1;1;
 187;9;11.281653;63.725377;-182941;85951;92;-7.5;1;
 196;9;25.912891;62.994356;548364;46015;100;6;1;
 70;9;16.095997;68.816954;44281;648371;40;-3.9;1;
 203;9;6.204976;62.175118;-455109;-60554;51;-0.3;1;
 185;9;8.274967;63.249321;-335977;45308;11;-2.4;1;
 165;9;8.701197;63.782351;-308957;102140;30;-3;1;
 187;9;10.904477;63.146459;-205572;22834;467;-7.3;1;
 266;9;10.808664;59.867355;-234134;-340870;149;-1.5;1;
 256;9;23.750358;60.022028;485309;-298210;35;-4.5;1;
 54;9;24.9434;70.05317;378841;815756;17;-3;1;
 266;9;10.329351;59.822348;-261228;-344024;198;-2.3;1;
 168;9;12.762427;64.173636;-108393;132398;597;-10.7;1;
 266;9;11.087178;60.089165;-217094;-317199;159;-2.8;1;
 227;9;11.088769;61.908043;-204704;-115200;330;-5.4;1;
 347;9;12.401109;55.755599;-163790;-804268;32;3.2;1;
 156;9;25.455058;65.083921;487947;271528;17;-8.8;1;
 345;9;9.966686;56.183467;-313230;-747401;58;4.1;1;
 283;9;7.066743;58.664704;-458843;-454168;612;1;1;
 287;9;11.382079;59.138414;-206705;-423888;81;0.7;1;
 186;9;10.404967;63.424431;-228397;55359;20;-5.9;1;
 262;9;5.603925;58.972435;-537899;-408834;5;3.4;1;
 307;9;11.972266;57.470534;-181770;-611484;38;2.4;1;
 347;9;12.11202;56.005874;-180739;-775488;16;3.3;1;
 327;9;12.292597;57.097272;-164306;-654005;25;1.9;1;
 167;9;11.466857;64.020076;-172039;118161;61;-6.1;1;
 345;9;9.538389;55.71728;-344251;-797243;29;3.5;1;
 223;9;5.405051;61.352912;-509802;-145068;15;-0.1;1;
 256;9;24.624067;60.364746;527732;-253563;43;-3.2;1;
 325;9;9.854575;56.895091;-313830;-667500;12;3.9;1;
 348;9;12.974327;55.610892;-128188;-821772;0;3;1;
 282;9;5.739899;58.540839;-537074;-457582;5;3.1;1;
 266;9;11.02297;59.934234;-221718;-334198;199;-2;1;
 242;9;5.433405;60.463876;-522969;-243121;19;3.3;1;
 290;9;15.556242;58.389418;32519;-513067;76;-1.5;1;
 210;9;16.66417;62.644548;85023;-38424;209;-8.9;1;
 265;9;9.608908;59.188618;-307346;-411219;28;1.4;1;
 258;9;26.963438;60.503294;651822;-216898;12;-3.1;1;
 266;9;10.325394;59.276144;-265868;-404689;31;0.7;1;
 197;9;26.763161;63.228968;585884;79198;109;-13.7;1;
 365;9;9.771079;55.054629;-335652;-872508;12;5;1;
 325;9;9.282559;56.922399;-348360;-661513;14;4.1;1;
 245;9;8.458301;60.854287;-353901;-220631;1359;-2.8;1;
 167;9;11.258716;64.177553;-181145;136218;85;-8.7;1;
 186;9;10.336637;63.393141;-232040;52133;193;1.6;1;
 347;9;12.40025;55.718677;-164011;-808399;23;2.8;1;
 304;9;8.091502;58.129299;-406222;-520384;37;2.8;1;
 345;9;10.186669;56.03384;-300819;-765153;47;3.5;1;
 266;9;10.824429;59.911272;-232937;-336048;82;1;1;
 247;9;12.345381;60.704897;-144506;-252288;224;-3.5;1;
 203;9;6.158052;61.797918;-463272;-101775;13;2.6;1;
